id_server; parameter
9636682546; % DE BIOVOLUME DE CIANOBACTÉRIAS (%)
3476761112; 1,1,1,2-Tetracloroetano (ug/l)
648158878; 1,1,1-Tricloroetano (ug/l)
648797172; 1,1,2,2-Tetracloroetano (ug/l)
648158886; 1,1,2-Tricloroetano (ug/l)
648160478; 1,1,2-Triclorotrifluoretano (ug/l)
648154776; 1,1-Dicloroetano (ug/l)
648619256; 1,1-Dicloroetileno ou Cloreto de Vinilo (ug/l)
3476761118; 1,1-Dicloropropeno ou 1,1-Dicloropropileno (ug/l)
3296200556; 1,2(E)-Dicloroetileno (ug/l)
3296200562; 1,2(Z)-Dicloroetileno (ug/l)
10161264172; 1,2,3,4,6,7,8-HpCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264178; 1,2,3,4,6,7,8-HpCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264196; 1,2,3,4,7,8,9-HpCDF(TEQ) (ug OMS-TEQ/kg peso húmido)
10161264184; 1,2,3,4,7,8-HxCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264190; 1,2,3,4,7,8-HxCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
3476760690; 1,2,3,4-Tetraclorobenzeno (ug/l)
648232724; 1,2,3,4-Tetracloronaftaleno (ug/l)
3476760684; 1,2,3,5-Tetraclorobenzeno + 1,2,4,5-Tetraclorobenzeno (ug/l)
10161264202; 1,2,3,6,7,8-HxCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264208; 1,2,3,6,7,8-HxCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264226; 1,2,3,7,8,9-HxCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264232; 1,2,3,7,8,9-HxCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264214; 1,2,3,7,8-PeCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161264220; 1,2,3,7,8-PeCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
3357034662; 1,2,3-Triclorobenzeno (ug/l)
3476761124; 1,2,3-Tricloropropano ou 1,2,3-TCP (ug/l)
648154802; 1,2,4,5-Tetraclorobenzeno (ug/l)
3301020776; 1,2,4-Triclorobenzeno (ug/l)
3476760676; 1,2,4-Trimetilbenzeno (ug/l)
3476760696; 1,2-Dibromo-3-cloropropano ou DBCP (ug/l)
648160518; 1,2-Dibromoetano (ug/l)
648154756; 1,2-Diclorobenzeno (ug/l)
647506354; 1,2-Dicloroetano ou EDC (ug/l)
648619262; 1,2-Dicloroetileno (ug/l)
648231186; 1,2-Dicloronaftaleno (ug/l)
648154782; 1,2-Dicloropropano (ug/l)
3301026736; 1,3,5-Triclorobenzeno (ug/l)
3476760670; 1,3,5-Trimetilbenzeno (ug/l)
648154762; 1,3-Diclorobenzeno (ug/l)
3476760664; 1,3-Dicloropropano (ug/l)
648227554; 1,3-Dicloropropano-2-ol (ug/l)
648160526; 1,3-Dicloropropeno ou 1,3-Dicloropropileno (ug/l)
648154770; 1,4-Diclorobenzeno (ug/l)
648228100; 1-Cloro-2,4-Dinitrobenzeno (ug/l)
648233920; 1-Cloro-2-nitrobenzeno (ug/l)
648234042; 1-Cloro-3-nitrobenzeno (ug/l)
648234178; 1-Cloro-4-nitrobenzeno (ug/l)
648139568; 1-Cloronaftaleno (ug/l)
6821856356; 17-alfa-etinilestradiol (EE2) (ug/l)
6821855960; 17-beta-estradiol (E2) (ug/l)
10161288258; 2',3,4,4',5-PeCB 123 (TEQ) (ug OMS-TEQ/kg peso húmido)
648228034; 2,2,2-Tricloroetano-1,1-diol ou Hidrato de Cloral (ug/l)
3476761582; 2,2-Dicloropropano (ug/l)
10161288264; 2,3',4,4',5,5'-HxCB 167 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161288252; 2,3',4,4',5-PeCB 118 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161275746; 2,3,3',4,4',5'-HxCB 157 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161276768; 2,3,3',4,4',5,5'-HpCB 189 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161275740; 2,3,3',4,4',5-HxCB 156 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161275734; 2,3,3',4,4'-PeCB 105 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161276774; 2,3,4,4',5-PeCB 114 (TEQ) (ug OMS-TEQ/kg peso húmido)
3382247438; 2,3,4,5-Tetraclorofenol (ug/l)
10161264238; 2,3,4,6,7,8-HxCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
3382247444; 2,3,4,6-Tetraclorofenol (ug/l)
10161264244; 2,3,4,7,8-PeCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
3380571624; 2,3,4-Triclorofenol ou 2,3,4-TCF (ug/l)
3382247450; 2,3,5,6-Tetraclorofenol (ug/l)
3380571630; 2,3,5-Triclorofenol ou 2,3,5-TCF (ug/l)
3380571636; 2,3,6-Triclorofenol ou 2,3,6-TCF (ug/l)
10161264250; 2,3,7,8-TCDD (TEQ) (ug OMS-TEQ/kg peso húmido)
10161275728; 2,3,7,8-TCDF (TEQ) (ug OMS-TEQ/kg peso húmido)
3380571656; 2,3-Diclorofenol (ug/l)
648227290; 2,3-Dicloronitrobenzeno (ug/l)
648227680; 2,3-Dicloropropeno ou 2,3-Dicloropropileno (ug/l)
100729467; 2,4'-DDD ou o,p'-DDD (ug/l)
100729474; 2,4'-DDE ou o,p'-DDE (ug/l)
100729460; 2,4'-DDT ou o,p'-DDT (ug/l)
9460155696; 2,4,5 + 2,4,6 - Triclorofenáis (ug/l)
679756938; 2,4,5-T (ug/l)
648160470; 2,4,5-Triclorofenol ou 2,4,5-TCF (ug/l)
648617834; 2,4,6-Tricloro-1,3,5-Triazina ou Cloreto de Cianúrcio (ug/l)
775373184; 2,4,6-Triclorofenol ou 2,4,6-TCF (ug/l)
679759986; 2,4-D (ug/l)
775371426; 2,4-Diclorofenol (ug/l)
3382245366; 2,4-Diclorofenol + 2,5-Diclorofenol (ug/l)
648227062; 2,4-Dicloronitrobenzeno (ug/l)
1854219936; 2,4-Dinitrofenol (ug/l)
648154750; 2,5-Dicloroanilina (ug/l)
648210582; 2,5-Dicloronitrobenzeno (ug/l)
3382245374; 2,6-Diclorofenol (ug/l)
7420672658; 2,6-ditert-butil-4-metilfenol (BHT) (ug/l)
7822433398; 2-4-Dimetilfenol (ug/l)
648228000; 2-Amino-4-Clorofenol (ug/l)
648629328; 2-Cloro-1,3-butadieno ou Cloropreno (ug/l)
648843014; 2-Cloro-3-nitrotolueno (ug/l)
648234196; 2-Cloro-6-nitrotolueno (ug/l)
648617018; 2-Cloro-p-toluidina ou 2-Cloro-4-metilanina (ug/l)
648139368; 2-Cloroanilina (ug/l)
648228106; 2-Cloroetanol (ug/l)
1182; 2-Clorofenol (ug/l)
1911; 2-Clorofenol (ug/l)
648234222; 2-Clorotolueno (ug/l)
3448161854; 2-Hidroxi-Atrazina (ug/l)
1854219942; 2-Metil-4,6-dinitrofenol (ug/l)
1854220298; 2-Nitrofenol (ug/l)
10161288282; 3,3',4,4',5,5'-HxCB 169 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161288276; 3,3',4,4',5-PeCB 126 (TEQ) (ug OMS-TEQ/kg peso húmido)
10161288270; 3,3',4,4'-TCB 77 (TEQ) (ug OMS-TEQ/kg peso húmido)
648618688; 3,3'-Diclorobenzidinas ou Diclorobenzidinas (ug/l)
10161288288; 3,4,4',5-TCB 81 (TEQ) (ug OMS-TEQ/kg peso húmido)
3380571642; 3,4,5-Triclorofenol ou 3,4,5- TCF (ug/l)
100733305; 3,4-Dicloroanilina (ug/l)
3382245386; 3,4-Diclorofenol (ug/l)
648227226; 3,4-Dicloronitrobenzeno (ug/l)
3382245392; 3,5-Diclorofenol (ug/l)
648205774; 3,5-Dicloronitrobenzeno (ug/l)
648139374; 3-Cloroanilina (ug/l)
1913; 3-Clorofenol (ug/l)
3357035050; 3-Clorofenol+4-Clorofenol (ug/l)
648667432; 3-Cloropropeno ou Cloreto de alilo (ug/l)
648234230; 3-Clorotolueno (ug/l)
100002982; 4,4'-DDD ou p,p'-DDD (ug/l)
100002983; 4,4'-DDE ou p,p'-DDE (ug/l)
100002984; 4,4'-DDT ou p,p'-DDT (ug/l)
648233772; 4-Cloro-2-nitroanilina (ug/l)
648234184; 4-Cloro-2-nitrotolueno (ug/l)
648139404; 4-Cloro-3-metilfenol ou Clorocresol (ug/l)
648843020; 4-Cloro-3-nitrotolueno (ug/l)
648228046; 4-Cloroanilina (ug/l)
1916; 4-Clorofenol (ug/l)
648234236; 4-Clorotolueno (ug/l)
1189; 4-Nitrofenol (ug/l)
7420672666; 4-metoxicinamato de 2-etil-hexilo (ug/l)
9220279902; AMPA (ug/l)
1920; Acenafteno (ug/l)
1921; Acenaftileno (ug/l)
7421854482; Acetamipride (ug/l)
648227942; Acetato de Trifenilestanho (ug/l)
3448161848; Acetocloro (ug/l)
7421885578; Aclonifena (ug/l)
100002985; Alacloro (ug/l)
100002986; Alcalinidade (mg/l CaCO3)
100002987; Alcalinidade (mg/l HCO3)
100002988; Alcalinidade total (mg/l CaCO3)
100002989; Alcalinidade total equiv.
100002990; Aldrina (ug/l)
100002991; Alumínio (mg/l)
666238816; Alumínio Particulado (mg/kg)
3471040964; Alumínio dissolvido (mg/l)
906472806; Ametrina (ug/l)
3360130370; Amitrol (ug/l)
100002992; Amoníaco (mg/l NH3)
9497820240; Amoxicilina (ug/l)
9902031258; Ano classificação fitoplâncton
1205; Antimánio (mg/l)
774135470; Antimánio (ug/l)
775084766; Antimánio dissolvido (ug/l)
1936; Antraceno (ug/l)
100002993; Arsénio dissolvido (mg/l)
100002994; Arsénio total (mg/l)
100003735; Aspeto
100002995; Atrazina (ug/l)
648160586; Azinfos-etilo (ug/l)
648161560; Azinfos-metilo (ug/l)
7421856326; Azitromicina (ug/l)
100002998; Azoto Kjeldahl (mg/l N)
100002997; Azoto Kjeldahl dissolvido (mg/l N)
9594724168; Azoto Total (µmol/L)
665336520; Azoto amoniacal (mg/l N)
1210; Azoto amoniacal (mg/l NH4)
9420064896; Azoto amoniacal (umol/l NH4)
444769258; Azoto dissolvido (mg/l N)
1211; Azoto total (mg/l N)
3448161866; Azoxistrobina (ug/l)
100290555; BACILLARIOPHYCEAE (Cel/ml)
9635543798; BACILLARIOPHYCEAE TOTAL (mm3/L)
10122169180; BENZO(A)PIRENO  (µg/Kg peso húmido)
9635550320; BICOSOECOPHYCEAE (Cel/ml)
9635551294; BICOSOECOPHYCEAE TOTAL (mm3/L)
100002999; Bactérias heterotráficas
648625294; Bentazona (ug/l)
1214; Benzeno (ug/l)
648667492; Benzidina (ug/l)
1220; Benzo(a)antraceno (ug/l)
1215; Benzo(a)pireno (ug/l)
100729363; Benzo(b)fluoranteno (ug/l)
3301097030; Benzo(e)perileno (ug/l)
3301091260; Benzo(e)pireno (ug/l)
775086358; Benzo(ghi)perileno (ug/l)
6826884110; Benzo(j)fluoranteno (ug/l)
775086348; Benzo(k)fluoranteno (ug/l)
100727838; Berílio (ug/l)
775084772; Berílio dissolvido (mg/l)
9691178882; Beta-Ciflutrina (ug/L)
100003040; Bicarbonato (mg/l)
648621212; Bifenilo (ug/l)
7421900442; Bifenox (ug/l)
9460155688; Bisfenol A (ug/l)
100003045; Boro (mg/l)
580033452; Boro dissolvido (mg/l)
3448161872; Bromacilo (ug/l)
3476760652; Bromobenzeno (ug/l)
3476760646; Bromoclorometano (ug/l)
1273; Bromodiclorometano ou BDCM (ug/l)
648160538; Bromofos-etilo (ug/l)
648160546; Bromofos-metilo (ug/l)
1229; Bromofármio ou Tribromometano (ug/l)
3476760640; Bromometano (ug/l)
100003004; Bário (mg/l)
580033446; Bário dissolvido (mg/l)
100003129; CBO hatch
100003114; CBO5 (mg/l O2)
100290556; CHLOROPHYCEAE (Cel/ml)
9635575840; CHLOROPHYCEAE TOTAL (mm3/L)
100290560; CHRYSOPHYCEAE (Cel/ml)
9635575854; CHRYSOPHYCEAE TOTAL (mm3/L)
3040175936; CONJUGATOPHYCEAE (Cel/ml)
9635583514; CONJUGATOPHYCEAE TOTAL (mm3/L)
100760780; CRYPTOPHYCEAE (Cr) (Cel/ml)
9636645068; CRYPTOPHYCEAE TOTAL (Cr) (mm3/L)
410073894; CYANOBACTERIA (Cel/ml)
9636645280; CYANOBACTERIA TOTAL (mm3/L)
2152290182; Captana (ug/l)
3448161878; Carbendazime (ug/l)
3448161884; Carbofurão (ug/l)
100729432; Carbonato (mg/l)
3357082170; Carbono Orgânico Dissolvido (mg/l C)
100003104; Carbono Orgânico Total (mg/l C)
100003109; Carência Química de Oxigénio
648154744; Catião Tributilestanho ou TBT (ug/l)
1991; Cheiro
666239546; Chumbo Particulado (mg/kg)
100003139; Chumbo dissolvido (ug/l)
100003741; Chumbo total (mg/l)
3448161902; Cianazina (ug/l)
100003154; Cianeto (mg/l)
7421900450; Cibutrina (ug/l)
2152303098; Cimoxanil (ug/l)
7421900458; Cipermetrina (ug/l)
3448162298; Ciproconazol (ug/l)
9497839646; Ciprofloxacina (ug/l)
3471196644; Cis-1,2-Dicloroetileno ou (Z)-1,2-Dicloroeteno (ug/l)
3471196632; Cis-1,3-Dicloropropeno ou Exo-1,3-Dicloropropileno (ug/l)
7421856318; Claritromicina (ug/l)
3448161890; Clodinafope (ug/l)
3448161896; Clomazona (ug/l)
3448162792; Clorbromurão (ug/l)
1993; Clordano (ug/l)
100003164; Cloreto (mg/l)
648848478; Cloreto de Trifenilestanho (ug/l)
