id_server; station_name
9203856240; A VEIGA DO SEIXO (02N/02)
9343897960; A-DE-BARROS (08L/09)
100811533; A-DOS-CUNHADOS (19B/01)
9200203622; ABADIAS (16C/02)
9203856356; ABAMBRES (04N/09)
6862640904; ABOIM DAS CHOÇAS - CCHE (02G/05)
9343898310; ABRANCALHA DE BAIXO (17H/08)
9203856424; ABREIRO (05N/07)
9925141856; ABRUNHOSA-A-VELHA - CCHE (10L/06)
9343898514; ACEIRO DOS CARAMELOS (22E/02)
10075657988; ADEMOÇO (13K/08)
9198880324; ADUÇÃO ÁLAMOS (24L/06)
60396; AFIFE (03D/05)
9928820388; AFIFE PRAIA (03D/27)
6942538802; AFLUENTE DA RIBEIRA DE CAMPILHAS (26G/53)
8352976088; AFLUENTE DA RIBEIRA DE GRÂNDOLA (25G/55)
6892487200; AFLUENTE DA RIBEIRA DE LUCEFECIT (22M/52)
6937520994; AFLUENTE DA RIBEIRA DE SANTA CATARINA DE SÍTIMOS (23G/52)
6942538800; AFLUENTE DA RIBEIRA DE SÃO DOMINGOS (26F/55)
6942483390; AFLUENTE DA RIBEIRA DE SÃO MARTINHO (23F/50)
6943772098; AFLUENTE DA RIBEIRA DO ROXO (26G/58)
6943772112; AFLUENTE DA RIBEIRA VALE DA URSA (24H/53)
6942483406; AFLUENTE DA RIBEIRA VALE DA URSA - JUSANTE (23H/50)
6942525838; AFLUENTE DA VALA REAL I (24E/51)
8352933550; AFLUENTE DO RIBEIRO DE ÁGUA COVA (23F/53)
6906727820; AFLUENTE DO RIO DEGEBE (23K/56)
6938738338; AFLUENTE DO RIO SADO I (23E/50)
6942525832; AFLUENTE DO RIO SADO III (23E/52)
6942525834; AFLUENTE DO RIO SADO IV (23E/53)
6943777774; AFLUENTE DO RIO SADO IX (24H/55)
8351750340; AFLUENTE DO RIO SADO V (23F/51)
8352933546; AFLUENTE DO RIO SADO VI (23F/52)
8352944590; AFLUENTE DO RIO SADO VII (24G/54)
6943772116; AFLUENTE DO RIO SADO VIII (24G/52)
6943772108; AFLUENTE DO RIO XARRAMA (24I/53)
304030478; AGADÃO (10H/03)
9198880402; AGRAS DE OLIVEIRA (05G/14)
6786808700; AGROCHÃO (03O/50)
9928833898; AGUDA (07F/25)
10373093840; AGUDA (V. N. GAIA) (Biota-Bivalves) (07F/01BIV)
6786917470; ALAMBIQUES (05P/52)
3456570266; ALB. ABRILONGO (19O/10)
4074389760; ALB. ABRILONGO (C) (19O/01C)
60003; ALB. AGUIEIRA (11H/05)
6791607822; ALB. AGUIEIRA - CRIZ (11H/07)
7591079094; ALB. AGUIEIRA - CRIZ (C) (11H/07C)
7591079098; ALB. AGUIEIRA - CRIZ (F) (11H/07F)
7922224004; ALB. AGUIEIRA - MARINA (11H/10)
9198880562; ALB. AGUIEIRA - MORTÁGUA - CAPT. 48 (11H/02)
7945659550; ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (C) (11I/14C)
7922224008; ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (S) (11I/14S)
244125420; ALB. AGUIEIRA - S. JOÃO AREIAS/TÁBUA - CAPT. 22 (11I/10)
244005532; ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (11I/11)
7578260478; ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (C) (11I/11C)
7578260482; ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (F) (11I/11F)
10025458822; ALB. AGUIEIRAS (03N/07)
8734102900; ALB. AGUIEIRA_est 1 fundo - CCHE (11H/11F)
8734102888; ALB. AGUIEIRA_est 1 int - CCHE (11H/11C)
8734102896; ALB. AGUIEIRA_est 1 meio - CCHE (11H/11M)
8734102892; ALB. AGUIEIRA_est 1 perfil - CCHE (11H/11P)
7275904694; ALB. AGUIEIRA_est 2 fundo - CCHE (11H/09F)
6857925158; ALB. AGUIEIRA_est 2 int - CCHE (11H/09C)
7275904690; ALB. AGUIEIRA_est 2 meio - CCHE (11H/09M)
7272670184; ALB. AGUIEIRA_est 2 perfil - CCHE (11H/09P)
100567551; ALB. ALCOUTIM (F) (29M/03F)
100567550; ALB. ALCOUTIM (S) (29M/03S)
9343897864; ALB. ALDEADÁVILA (C) (06Q/03C)
318089750; ALB. ALQUEVA (F) (24M/05F)
318022020; ALB. ALQUEVA (M) (24M/05M)
318012280; ALB. ALQUEVA (S) (24M/05S)
8956792692; ALB. ALTO CEIRA_est 1 fundo- CCHE (12J/07F)
8956781380; ALB. ALTO CEIRA_est 1 int - CCHE (12J/07C)
8956792696; ALB. ALTO CEIRA_est 1 perfil - CCHE (12J/07P)
60231; ALB. ALTO CÁVADO (03J/07)
6862650604; ALB. ALTO CÁVADO_est 1 int - CCHE (03J/11C)
7378249394; ALB. ALTO CÁVADO_est 1 perfil - CCHE (03J/11P)
60399; ALB. ALTO LINDOSO (02H/03)
8727700014; ALB. ALTO LINDOSO_est 1 int - CCHE (02H/59C)
8727763030; ALB. ALTO LINDOSO_est 1 perfil - CCHE (02H/59P)
