CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
02N/02,A VEIGA DO SEIXO,DOURO,583,-,-,41.96772,-7.186812,ARH-NORTE,BRAGANÇA,VINHAIS,UNIÃO DAS FREGUESIAS DE QUIRÁS E PINHEIRO NOVO,,-,-,-,-,-,-,
08L/09,A-DE-BARROS,DOURO,577,-,-,40.92383,-7.54858,ARH-NORTE,VISEU,SERNANCELHE,UNIÃO DAS FREGUESIAS DE PENSO E FREIXINHO,,-,-,-,-,-,-,
19B/01,A-DOS-CUNHADOS,RIBEIRAS DO OESTE,14,98983,243399,39.153084,-9.302253,ARH-TEJO,LISBOA,TORRES VEDRAS,A DOS CUNHADOS,RIO DE ALCABRICHEL,116.25,8.24,17-10-2000,-,IMPACTO,ATIVA,
16C/02,ABADIAS,RIBEIRAS DO OESTE,2,-,-,39.57725,-9.034361,ARH-TEJO,LEIRIA,ALCOBAÇA,BÁRRIO,,-,-,01-01-2016,-,-,ATIVA,
04N/09,ABAMBRES,DOURO,226,-,-,41.5552,-7.17996,ARH-NORTE,BRAGANÇA,MIRANDELA,ABAMBRES,,-,-,-,-,-,-,
02G/05,ABOIM DAS CHOÇAS - CCHE,LIMA,62,-,-,41.916647,-8.447244,EDP,VIANA DO CASTELO,ARCOS DE VALDEVEZ,ABOIM DAS CHOÇAS,RIO VEZ,-,-,01-01-2011,-,TURH,ATIVA,
17H/08,ABRANCALHA DE BAIXO,TEJO,53,-,-,39.47205,-8.226125,ARH-TEJO,SANTARÉM,ABRANTES,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,,-,-,-,-,-,-,
05N/07,ABREIRO,DOURO,197,-,-,41.34473,-7.27556,ARH-NORTE,BRAGANÇA,VILA FLOR,FREIXIEL,,-,-,-,-,-,-,
10L/06,ABRUNHOSA-A-VELHA - CCHE,MONDEGO,299,-,-,40.56681,-7.6375,EDP,-,-,-,RIO MONDEGO,-,-,-,-,-,-,
22E/02,ACEIRO DOS CARAMELOS,TEJO,24,-,-,38.654555,-8.788102,ARH-TEJO,SETÚBAL,PALMELA,UNIÃO DAS FREGUESIAS DE POCEIRÃO E MARATECA,,-,-,-,-,-,-,
13K/08,ADEMOÇO,TEJO,308,-,-,40.027162,-7.827205,ARH-TEJO,-,-,-,,-,-,-,-,-,-,
24L/06,ADUÇÃO ÁLAMOS,GUADIANA,229,-,-,38.330445,-7.579948,ARH-ALENTEJO,ÉVORA,PORTEL,UNIÃO DAS FREGUESIAS DE AMIEIRA E ALQUEVA,,-,-,-,-,-,-,
03D/05,AFIFE,ÂNCORA,20,139578,533952,41.772057,-8.860985,CCDR-NORTE,VIANA DO CASTELO,VIANA DO CASTELO,AFIFE,RIO DE CABANAS,10.06,1.21,02-11-1998,-,IMPACTO,REATIVADA,
03D/27,AFIFE PRAIA,,0,-,-,41.782067,-8.872335,-,-,-,-,,-,-,01-01-2019,-,-,ATIVA,
26G/53,AFLUENTE DA RIBEIRA DE CAMPILHAS,SADO,58,174279.79,106215.95,37.92228,-8.42562,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,BARRANCO DO MALHAO,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
25G/55,AFLUENTE DA RIBEIRA DE GRÂNDOLA,SADO,35,178901.23,130725.61,38.14165556,-8.372575,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,AZINHEIRA DOS BARROS E SÃO MAMEDE DO SÁDÃO,,-,-,01-01-2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
22M/52,AFLUENTE DA RIBEIRA DE LUCEFECIT,GUADIANA,187,261900,186848,38.64688,-7.42214,ARH-ALENTEJO,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),RIBEIRA DO ALANDROAL,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
23G/52,AFLUENTE DA RIBEIRA DE SANTA CATARINA DE SÍTIMOS,SADO,13,175795,162020,38.42439,-8.41076,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SANTA SUSANA,RIBEIRA DE ALCÁÇOVAS,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
26F/55,AFLUENTE DA RIBEIRA DE SÃO DOMINGOS,SADO,91,162864,109846.85,37.9546,-8.55564,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SÃO DOMINGOS,BARRANCO DE MARTINHANES,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
23F/50,AFLUENTE DA RIBEIRA DE SÃO MARTINHO,SADO,1,157003,163374,38.43653,-8.62562,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIBEIRA DE SÃO MARTINHO,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
26G/58,AFLUENTE DA RIBEIRA DO ROXO,SADO,46,179292.39,114249.8,37.99479,-8.36884,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ERMIDAS-SADO,BARRANCO DO VALE DO PEREIRO,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
24H/53,AFLUENTE DA RIBEIRA VALE DA URSA,SADO,86,190762.5,150176.32,38.31864,-8.23873,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,BARRANCO DE S. SOEIRO,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
