idata, NOME, BACIA, LATITUDE (ºN), LONGITUDE (ºW), RIO, AREA DRENADA (KM2), DISTANCIA FOZ (KM)
24M/05, ALBUFEIRA  DO ALQUEVA, GUADIANA,38.22362218,-7.458578414, RIO GUADIANA,53694.17,164.99
27H/03, ALBUFEIRA MONTE DA ROCHA, SADO,37.72775564,-8.28616991, RIO SADO,244.89,161.94
24N/01, ALCARRACHE, GUADIANA,38.33073248,-7.262617873, RIBEIRA DE ALCARRACHE,414.34,190.51
24N/03, ALCARRACHE-CONFLUÊNCIA, GUADIANA,38.31900096,-7.333532916, ,937.73,183.41
23I/02H, ALCAÇOVAS, SADO,38.43922771,-8.158426355, RIBEIRA DE ALCÁÇOVAS,314.08,90.06
14H/02H, ALGE, TEJO,39.97967633,-8.275127653, RIBEIRA DO ALGE,43.74,240.6
24M/06, ALQUEVA JUSANTE (EDIA), GUADIANA,38.17206782,-7.48915497, ,55295.88,156.4
24L/03, ALQUEVA-CAPTAÇÃO M, GUADIANA,38.33913829,-7.572781881, RIO DEGEBE,1284.99,181.42
24N/04, ALQUEVA-GODELIM2, GUADIANA,38.28993778,-7.21201138, RIBEIRA DE GODELIM,422.6,198.57
23M/03, ALQUEVA-MOURÃO, GUADIANA,38.39144841,-7.388057847, ,134.58,189.51
06I/05H, AMARANTE (INAG), DOURO,41.26788784,-8.08181575, RIO TÂMEGA,2848.9,80.77
24O/01H, ARDILA, GUADIANA,38.17186372,-7.129395409, RIO ARDILA,2837.19,202.96
25M/01, ARDILA CONFLUÊNCIA (EDIA), GUADIANA,38.16623749,-7.458098444, ,3684.08,159.65
25L/02H, AÇUDE DE PEDROGÃO, GUADIANA,38.10600012,-7.644397832, RIO GUADIANA,59403.96,135.52
25E/02H, BADOCA, RIBEIRAS DO ALENTEJO,38.07342491,-8.781915309, RIBEIRA DA BADOCA OU SANTO ANDRÉ,100.28,4.97
07P/04, BARCA DE ALVA, DOURO,41.03533374,-6.921749504, RIO DOURO,75683.96,217.03
04E/07, BARROSELAS, LIMA/NEIVA,41.63714632,-8.696446079, RIO CÁVADO,155.33,13.82
17N/01H, BEIRÃ, TEJO,39.46526763,-7.30638572, RIO SEVER,115.9,284.71
31E/01H, BENSAFRIM, RIBEIRAS DO ALGARVE,37.15542638,-8.72174363, RIBEIRA DE BENSAFRIM,22.39,8.77
03F/03, BERTIANDOS, LIMA/NEIVA,41.75227345,-8.632020051, RIO LIMA,2269.8,21.35
31K/03H, BODEGA, RIBEIRAS DO ALGARVE,37.1619356,-7.698656335, RIBEIRA DE ALPORTEL,133.64,11.78
01F/05, BOUÇAS, MINHO/ÂNCORA,42.06958208,-8.527294262, RIO MINHO,16065.82,42.44
20O/03H, CAIA-GUADIANA, GUADIANA,38.84307308,-7.076764643, RIO CAIA,834.21,258.99
21C/05, CAIS DE SACAVÉM, TEJO,38.7976624,-9.103357327, RIO TRANCÃO,286.69,39.44
08G/02, CAPTAÇÃO DO RIO ÍNSUA, VOUGA/RIBEIRAS COSTEIRAS,40.83809065,-8.46479486, RIO INSUA OU UI,32.36,42.67
01H/03H, CASAIS, MINHO/ÂNCORA,42.14679434,-8.20249754, RIO MINHO,15163.62,78.48
06M/05H, CASTANHEIRO (INAG), DOURO,41.24239832,-7.39193909, RIO TUA,3767.41,148.69
16D/03, CHIQUEDA, RIBEIRAS DO OESTE,39.53675295,-8.945689765, RIO ALCOA,55.31,16.22
31J/01H, COIRO DA BURRA, RIBEIRAS DO ALGARVE,37.09989827,-7.903269609, RIO SECO,36.79,26.38
06K/05H, ERMIDA CORGO, DOURO,41.22847985,-7.749279816, RIO CORGO,309.69,116.88
23I/01H, FLOR DA ROSA, SADO,38.36058919,-8.067830858, RIBEIRA DO XARRAMA,328.03,115.76
